Request_ID,Request_Time,Status,Passengers,Pickup_Lat,Pickup_Lon,Dropoff_Lat,Dropoff_Lon,Exp_Pickup_Time,Exp_Dropoff_Time,Act_Pickup_Time,Act_Dropoff_Time
R214502,2025-10-01 00:00:00,COMPLETED,1,40.80640923,-73.96393698,40.80191873,-73.96201953,2025-10-01 00:01:06,2025-10-01 00:02:33,2025-10-01 00:01:31,2025-10-01 00:02:58
R214505,2025-10-01 00:01:00,COMPLETED,1,40.80713782,-73.96438357,40.8007932,-73.9602057,2025-10-01 00:01:17,2025-10-01 00:03:21,2025-10-01 00:01:17,2025-10-01 00:03:21
R214503,2025-10-01 00:00:00,COMPLETED,1,40.80789229,-73.96559425,40.8007932,-73.9602057,2025-10-01 00:01:37,2025-10-01 00:03:58,2025-10-01 00:01:40,2025-10-01 00:04:05
R214506,2025-10-01 00:03:00,COMPLETED,1,40.80984072,-73.95803846,40.81523402,-73.96071933,2025-10-01 00:03:45,2025-10-01 00:05:30,2025-10-01 00:03:45,2025-10-01 00:05:39
R214504,2025-10-01 00:01:00,COMPLETED,1,40.8075355,-73.9625727,40.79879368,-73.96767631,2025-10-01 00:01:51,2025-10-01 00:06:41,2025-10-01 00:01:51,2025-10-01 00:06:41
R214510,2025-10-01 00:05:00,COMPLETED,1,40.81810076,-73.95897757,40.8221628,-73.9553845,2025-10-01 00:06:55,2025-10-01 00:08:43,2025-10-01 00:06:55,2025-10-01 00:08:43
R214507,2025-10-01 00:04:00,COMPLETED,1,40.80384526,-73.96329358,40.81951886,-73.95174433,2025-10-01 00:04:45,2025-10-01 00:08:31,2025-10-01 00:04:45,2025-10-01 00:08:31
R214509,2025-10-01 00:05:00,COMPLETED,1,40.80929665,-73.96000184,40.79951043,-73.96994144,2025-10-01 00:05:35,2025-10-01 00:08:41,2025-10-01 00:05:35,2025-10-01 00:08:41
R214511,2025-10-01 00:06:00,COMPLETED,1,40.80663179,-73.96322887,40.810808,-73.9597263,2025-10-01 00:07:15,2025-10-01 00:08:39,2025-10-01 00:07:15,2025-10-01 00:08:39
R214508,2025-10-01 00:04:00,COMPLETED,1,40.81789676,-73.95880491,40.8021942,-73.9654877,2025-10-01 00:06:28,2025-10-01 00:10:20,2025-10-01 00:06:28,2025-10-01 00:10:24
R214512,2025-10-01 00:07:00,COMPLETED,1,40.80374019,-73.95194683,40.81398635,-73.96179088,2025-10-01 00:08:59,2025-10-01 00:12:23,2025-10-01 00:08:59,2025-10-01 00:12:23
R214513,2025-10-01 00:07:00,COMPLETED,1,40.80977031,-73.96326684,40.800816,-73.9672549,2025-10-01 00:08:22,2025-10-01 00:12:05,2025-10-01 00:08:22,2025-10-01 00:12:05
R214514,2025-10-01 00:10:00,COMPLETED,1,40.80721522,-73.96140564,40.7990282,-73.9688823,2025-10-01 00:10:00,2025-10-01 00:12:32,2025-10-01 00:10:00,2025-10-01 00:12:32
R214515,2025-10-01 00:11:00,COMPLETED,1,40.80800725,-73.96381863,40.81185508,-73.95910062,2025-10-01 00:12:18,2025-10-01 00:13:51,2025-10-01 00:12:18,2025-10-01 00:13:51
R214516,2025-10-01 00:11:00,COMPLETED,1,40.80694749,-73.96105126,40.8036336,-73.95731896,2025-10-01 00:11:00,2025-10-01 00:13:07,2025-10-01 00:11:00,2025-10-01 00:13:07
R214518,2025-10-01 00:13:00,COMPLETED,1,40.79860434,-73.96248892,40.80043858,-73.96499947,2025-10-01 00:14:07,2025-10-01 00:14:47,2025-10-01 00:14:07,2025-10-01 00:14:47
R214517,2025-10-01 00:12:00,COMPLETED,1,40.80781666,-73.96379516,40.8050574,-73.96526368,2025-10-01 00:13:24,2025-10-01 00:14:05,2025-10-01 00:13:27,2025-10-01 00:14:08
R214519,2025-10-01 00:13:00,COMPLETED,1,40.8075355,-73.9625727,40.8019852,-73.9629154,2025-10-01 00:13:27,2025-10-01 00:15:44,2025-10-01 00:13:27,2025-10-01 00:15:44
R214521,2025-10-01 00:14:00,COMPLETED,1,40.80796258,-73.96264784,40.8095219,-73.9588746,2025-10-01 00:15:23,2025-10-01 00:16:45,2025-10-01 00:15:23,2025-10-01 00:16:45
R214524,2025-10-01 00:15:00,COMPLETED,1,40.80166037,-73.96601602,40.8061557,-73.9657847,2025-10-01 00:15:09,2025-10-01 00:16:32,2025-10-01 00:15:09,2025-10-01 00:16:32
R214523,2025-10-01 00:15:00,COMPLETED,1,40.8078088,-73.96535419,40.80645135,-73.96018893,2025-10-01 00:16:55,2025-10-01 00:18:31,2025-10-01 00:16:55,2025-10-01 00:18:31
R214520,2025-10-01 00:13:00,COMPLETED,2,40.8088797,-73.9593329,40.82237146,-73.95591784,2025-10-01 00:15:29,2025-10-01 00:18:52,2025-10-01 00:16:37,2025-10-01 00:19:59
