Request_ID,Request_Time,Status,Passengers,Pickup_Lat,Pickup_Lon,Dropoff_Lat,Dropoff_Lon,Exp_Pickup_Time,Exp_Dropoff_Time,Act_Pickup_Time,Act_Dropoff_Time
R214502,2025-10-01 00:00:00,COMPLETED,1,40.80640923,-73.96393698,40.80191873,-73.96201953,2025-10-01 00:02:00,2025-10-01 00:04:39,2025-10-01 00:02:10,2025-10-01 00:05:29
R214505,2025-10-01 00:01:00,COMPLETED,1,40.80713782,-73.96438357,40.8007932,-73.9602057,2025-10-01 00:02:26,2025-10-01 00:06:11,2025-10-01 00:02:26,2025-10-01 00:06:11
R214503,2025-10-01 00:00:00,COMPLETED,1,40.80789229,-73.96559425,40.8007932,-73.9602057,2025-10-01 00:02:56,2025-10-01 00:07:13,2025-10-01 00:02:56,2025-10-01 00:07:13
R214506,2025-10-01 00:03:00,COMPLETED,1,40.80984072,-73.95803846,40.81523402,-73.96071933,2025-10-01 00:04:21,2025-10-01 00:07:34,2025-10-01 00:04:21,2025-10-01 00:07:56
R214504,2025-10-01 00:01:00,COMPLETED,1,40.8075355,-73.9625727,40.79879368,-73.96767631,2025-10-01 00:03:34,2025-10-01 00:08:20,2025-10-01 00:03:34,2025-10-01 00:08:20
R214511,2025-10-01 00:06:00,COMPLETED,1,40.80663179,-73.96322887,40.810808,-73.9597263,2025-10-01 00:08:16,2025-10-01 00:10:49,2025-10-01 00:08:16,2025-10-01 00:10:49
R214509,2025-10-01 00:05:00,COMPLETED,1,40.80929665,-73.96000184,40.79951043,-73.96994144,2025-10-01 00:06:04,2025-10-01 00:11:42,2025-10-01 00:06:04,2025-10-01 00:11:42
R214507,2025-10-01 00:04:00,COMPLETED,1,40.80384526,-73.96329358,40.81951886,-73.95174433,2025-10-01 00:05:22,2025-10-01 00:12:14,2025-10-01 00:05:22,2025-10-01 00:12:14
R214510,2025-10-01 00:05:00,COMPLETED,1,40.81810076,-73.95897757,40.8221628,-73.9553845,2025-10-01 00:10:13,2025-10-01 00:13:30,2025-10-01 00:10:13,2025-10-01 00:13:30
R214517,2025-10-01 00:12:00,COMPLETED,1,40.80781666,-73.96379516,40.8050574,-73.96526368,2025-10-01 00:12:37,2025-10-01 00:13:50,2025-10-01 00:12:37,2025-10-01 00:13:50
R214513,2025-10-01 00:07:00,COMPLETED,1,40.80977031,-73.96326684,40.800816,-73.9672549,2025-10-01 00:09:34,2025-10-01 00:13:51,2025-10-01 00:09:34,2025-10-01 00:13:51
R214514,2025-10-01 00:10:00,COMPLETED,1,40.80721522,-73.96140564,40.7990282,-73.9688823,2025-10-01 00:10:00,2025-10-01 00:14:36,2025-10-01 00:10:00,2025-10-01 00:14:36
